Content,Dates,Bold,Italic,Short,AllCaps,Quoted,Year
 THE GIRL WITH THE DRAGON TATTOO,03/22,0,0,0,1,0,2013
 THREE DAYS OF THE CONDOR,03/22,0,0,0,1,0,2013
/13 ASSHOLES: A THEORY,03/23,0,0,0,1,0,2013
 Aaron James,03/23,0,0,0,0,0,2013
 TOKYO OLYMPIAD,03/23,0,0,0,1,0,2013
/13 Singani63 ad shoot,03/24,0,0,0,0,0,2013
 PHIL SPECTOR,03/24,0,0,0,1,0,2013
/13 SMASH,03/27,0,0,0,1,0,2013
 CASINO ROYALE (’06),03/27,0,0,0,1,0,2013
/13 QUANTUM OF SOLACE,03/28,0,0,0,1,0,2013
/13 SKYFALL,03/29,0,0,0,1,0,2013
 NEW YORK,03/29,0,0,0,1,0,2013
/13 “Neva”,03/30,0,0,0,0,1,2013
 Guillermo Calderon,03/30,0,0,0,0,0,2013
/13 THE STAIRCASE (2 episodes),03/31,0,0,0,0,0,2013
/13 SMASH,04/02,0,0,0,1,0,2013
/13 19 Purchase Street,04/03,0,0,0,0,0,2013
 Gerald A. Browne,04/03,0,0,0,0,0,2013
/13 THE BIRDCAGE,04/05,0,0,0,1,0,2013
/13 THE DINNER,04/07,0,0,0,1,0,2013
 Herman Koch,04/07,0,0,0,0,0,2013
 NOVA: ANCIENT COMPUTERS,04/07,0,0,0,1,0,2013
 MAD MEN (2 episodes),04/07,0,0,0,0,0,2013
/13 MY LUNCHES WITH ORSON,04/08,0,0,0,1,0,2013
 Welles/Jaglom/Biskind,04/08,0,0,0,0,0,2013
 F FOR FAKE,04/08,0,0,0,1,0,2013
/13 KILLING THEM SOFTLY,04/09,0,0,0,1,0,2013
/13 SLEUTH (’72),04/10,0,0,0,1,0,2013
/13 THE FORTUNE,04/11,0,0,0,1,0,2013
/13 THIS IS HOW YOU LOSE HER,04/12,0,0,0,1,0,2013
 Junot Diaz,04/12,0,0,0,0,0,2013
 THE FUN PARTS,04/12,0,0,0,1,0,2013
 Sam Lipsyte,04/12,0,0,0,0,0,2013
 VICE,04/12,0,0,0,1,0,2013
REAL TIME WITH BILL MAHER,04/12,0,0,0,1,0,2013
/13 LOUIS C.K.: OM MY GOD,04/13,0,0,0,1,0,2013
 SMASH,04/13,0,0,0,1,0,2013
/13 MAD MEN,04/14,0,0,0,1,0,2013
 VEEP,04/14,0,0,0,1,0,2013
/13 30BY30: JIMMY CONNORS,04/16,0,0,0,1,0,2013
/13 THE TRIAL (’63),04/19,0,0,0,1,0,2013
 REBECCA,04/19,0,0,0,1,0,2013
/13 SMASH,04/20,0,0,0,1,0,2013
/13 MAD MEN,04/21,0,0,0,1,0,2013
 VEEP,04/21,0,0,0,1,0,2013
/13 “Here Lies Love”,04/23,0,0,0,0,1,2013
 David Byrne/Fatboy Slim,04/23,0,0,0,0,0,2013
/13 “The Fragments”,04/24,0,0,0,0,1,2013
 Jonathan Ferris,04/24,0,0,0,0,0,2013
/13 BIG DATA,04/26,0,0,0,1,0,2013
 Viktor Mayer Schonburger,04/26,0,0,0,0,0,2013
 Kenneth Cukier,04/26,0,0,0,0,0,2013
/13 BEAUTIFUL RUIN,04/27,0,0,0,1,0,2013
 Jess Walter,04/27,0,0,0,0,0,2013
 “Mexican Manifesto”,04/27,0,0,0,0,1,2013
 Roberto Bolano,04/27,0,0,0,0,0,2013
/13 SMASH,04/28,0,0,0,1,0,2013
 MAD MEN,04/28,0,0,0,1,0,2013
 VEEP,04/28,0,0,0,1,0,2013
/13 THE ENTERTAINER,04/30,0,0,0,1,0,2013
/13 MANHUNT: THE SEARCH FOR BIN LADEN,05/01,0,0,0,1,0,2013
/13 TOM PAPA: FREAKING OUT,05/02,0,0,0,1,0,2013
/13 HER,05/03,0,0,0,1,0,2013
/13 SMASH,05/04,0,0,0,1,0,2013
/13 CITIZEN VINCE,05/06,0,0,0,1,0,2013
 Jess Walter,05/06,0,0,0,0,0,2013
 VEEP,05/06,0,0,0,1,0,2013
 MAD MEN,05/06,0,0,0,1,0,2013
/13 INSIDE AMY SCHUMER,05/07,0,0,0,1,0,2013
/13 LET’S EXPLORE DIABETES WITH OWLS,05/09,0,0,0,1,0,2013
 David Sedaris,05/09,0,0,0,0,0,2013
 MCCABE &amp; MRS. MILLER,05/09,0,0,0,0,0,2013
 DUEL,05/09,0,0,0,1,0,2013
/13 SEXY BEAST,05/10,0,0,0,1,0,2013
/13 COLUMBO: MURDER BY THE BOOK,05/11,0,0,0,1,0,2013
 ALL ABOUT EVE,05/11,0,0,0,1,0,2013
/13 THE ART OF THE NOVEL,05/12,0,0,0,1,0,2013
 Milan Kundera,05/12,0,0,0,0,0,2013
 MAD MEN,05/12,0,0,0,1,0,2013
 VEEP,05/12,0,0,0,1,0,2013
/13 INSIDE AMY SCHUMER,05/14,0,0,0,1,0,2013
 SUNSET BOULEVARD,05/14,0,0,0,1,0,2013
/13 THE WAY OF THE KNIFE,05/15,0,0,0,1,0,2013
 Mark Mazzetti,05/15,0,0,0,0,0,2013
/13 TIRZA,05/19,0,0,0,1,0,2013
 Arnon Grunberg,05/19,0,0,0,0,0,2013
/13 INSIDE AMY SCHUMER,05/22,0,0,0,1,0,2013
 MAD MEN,05/22,0,0,0,1,0,2013
/13 VEEP,05/23,0,0,0,1,0,2013
/13 SUN DON’T SHINE,05/25,0,0,0,1,0,2013
/13 SMASH (2 episodes),05/26,0,0,0,0,0,2013
 MAD MEN,05/26,0,0,0,1,0,2013
/13 NEW YORK (EP. 4),05/27,0,0,0,1,0,2013
/13 Finished Earl Holliday album,05/28,0,0,0,0,0,2013
/13 INSIDE AMY SCHUMER,05/29,0,0,0,1,0,2013
/13 DIRTY WARS,05/31,0,0,0,1,0,2013
/13 THE KILLING (2 episodes),06/02,0,0,0,0,0,2013
 MAD MEN,06/02,0,0,0,1,0,2013
 VEEP,06/02,0,0,0,1,0,2013
/13 “From the Diaries of Pussy-Cake”,06/06,0,0,0,0,1,2013
 Gary Shteyngart,06/06,0,0,0,0,0,2013
 BOARDWALK EMPIRE (3 episodes),06/06,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (3 episodes),06/07,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (4 episodes),06/08,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (5 episodes),06/09,0,0,0,0,0,2013
 MAD MEN,06/09,0,0,0,1,0,2013
 VEEP,06/09,0,0,0,1,0,2013
/13 MAN OF STEEL,06/10,0,0,0,1,0,2013
 BOARDWALK EMPIRE (3 episodes),06/10,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE(3 episodes),06/12,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (3 episodes),06/13,0,0,0,0,0,2013
/13 THE MAN WHO SEDUCED HOLLYWOOD,06/15,0,0,0,1,0,2013
 James Gladstone,06/15,0,0,0,0,0,2013
 BOARDWALK EMPIRE (2 episodes),06/15,0,0,0,0,0,2013
/13 THE ELEPHANT MAN,06/16,0,0,0,1,0,2013
 BOARDWALK EMPIRE (2 episodes),06/16,0,0,0,0,0,2013
 THE KILLING,06/16,0,0,0,1,0,2013
 MAD MEN,06/16,0,0,0,1,0,2013
 VEEP,06/16,0,0,0,1,0,2013
/13 WE ARE ALL COMPLETELY BESIDE OURSELVES,06/20,0,0,0,1,0,2013
 Karen Joy Fowler,06/20,0,0,0,0,0,2013
/13 THE BLING RING,06/23,0,0,0,1,0,2013
 VEEP,06/23,0,0,0,1,0,2013
 MAD MEN,06/23,0,0,0,1,0,2013
/13 MIDNIGHT IN PEKING,06/25,0,0,0,1,0,2013
