Content,Dates,Bold,Italic,Short,AllCaps
 TO END ALL WAR: OPPENHEIMER AND THE ATOMIC BOMB,07/21,0,0,0,1
 The Absolutes,07/22,0,1,0,0
 UNDERRATED,07/22,1,0,0,1
 EXPRESSO BONGO,07/23,1,0,0,1
 LA LOI,07/23,1,0,0,1
 THE HEIRESS AND THE HEIST (3),07/24,0,0,0,1
 Hope,07/25,0,1,0,0
 MISSING: THE LUCIE BLACKMAN CASE,07/27,1,0,0,1
 THE LADY OF SILENCE,07/27,0,0,0,1
 HOW TO WITH JOHN WILSON: FIND A PUBLIC RESTROOM,07/27,0,0,0,1
 JIM GAFFIGAN: DARK PALE,07/28,0,0,0,1
 DATELINE,07/28,0,0,0,1
 KEVIN HART: REALITY CHECK,07/29,0,0,0,1
 FIRES ON THE PLAIN,07/29,1,0,0,1
 CRAWFORD V. SPENCE,07/29,0,0,0,1
 OPPENHEIMER,07/30,1,0,0,1
 SUNDAY BLOODY SUNDAY,07/30,1,0,0,1
 Ripe,07/31,0,1,0,0
 STEWART,08/01,1,0,0,1
 How Basketball Can Save the World,08/04,0,1,0,0
 MURF THE SURF (4),08/04,0,0,0,1
 The Theory of Everything Else,08/05,0,1,0,0
 BILLIONAIRE MURDERS (2),08/05,0,0,0,1
 TO DUST,08/07,1,0,0,1
 Tune In: The Beatles All These Years Vol. 1,08/09,0,1,0,0
 HARD KNOCKS,08/09,0,0,0,1
 BARBIE,08/09,1,0,0,1
 ADALEN 31,08/09,1,0,0,1
 HAVE YOU SEEN THIS MAN? (3),08/10,0,0,0,1
 MARK CAVENDISH: NEVER ENOUGH,08/11,0,0,0,1
 ESCAPE TO ATHENA,08/11,1,0,0,1
 THE SCANDAL STORY,08/12,0,0,0,1
 HOW TO WITH JOHN WILSON: WORK OUT,08/12,0,0,0,1
 ELVIRA MADIGAN,08/12,1,0,0,1
 An English Affair,08/13,0,1,0,0
 Cleopatra and the Undoing of Hollywood,08/13,0,1,0,0
 TELEMARKETERS,08/14,0,0,0,1
 An Evening of Long Goodbyes,08/15,0,1,0,0
 My Life with Cleopatra,08/15,0,1,0,0
 BILLION DOLLAR HEIST,08/15,1,0,0,1
,08/15,0,1,0,0
 ,08/15,0,0,0,0
HARD KNOCKS,08/15,0,0,0,1
 UNTOLD: HALL OF SHAME,08/15,0,0,0,1
 The Cleopatra Papers,08/17,0,1,0,0
 Fassbinder Thousands of Mirrors,08/17,0,1,0,0
 CHIMP EMPIRE (2),08/18,0,0,0,1
 The Bee Sting,08/19,0,1,0,0
 HOW TO WITH JOHN WILSON: WATCH A GAME,08/19,0,0,0,1
 DATELINE,08/19,0,0,0,1
 CHIMP EMPIRE (2),08/19,0,0,0,1
 THE THIRD GENERATION,08/19,1,0,0,1
 TELEMARKETERS,08/21,0,0,0,1
 HARD KNOCKS,08/22,0,0,0,1
 JAWS,08/23,1,0,0,1
 Nothing,08/24,0,1,0,0
 BS HIGH,08/24,1,0,0,1
 Concluding,08/26,0,1,0,0
 HOW TO WITH JOHN WILSON: WATCH BIRDS,08/28,0,0,0,1
